Bucket,TaskID,Fase,Atividade,Owner,Agente_Suporte,Status,Prioridade,Depende_De,Tempo_Estimado,Inicio_Real,Fim_Real,Bloqueador,Evidencia_Path,Acao_Imediata
"DONE - M2 Phases","M2-P2","Phase 2 - Architecture","ADR_AQ08_HYBRID_CARD_FIRST_MIGRATION accepted, scope locked","Opus 4.7","Owner","DONE","P1","M2-P1","6-10h","2026-05-20","2026-05-20","-","ADR_AQ08_HYBRID_CARD_FIRST_MIGRATION_20260520.md","Concluido"
"DONE - M2 Phases","M2-P3","Phase 3 - Card Design","12 Adaptive Cards JSON validados","Gemini Flash 3.5","NONE","DONE","P1","M2-P2","4-6h","2026-05-15","2026-05-15","-","deploy/cards/*.json","Concluido"
"DONE - M2 Phases","M2-P4","Phase 4 - Flow Build","6 PM0_PA_Card_* flows ativos no tenant","Codex 5.5","Multi","DONE","P1","M2-P3","10-15h","2026-05-15","2026-05-21","-","aq07_power_automate_build_20260515/","Concluido"
"DONE - M2 Phases","M2-P5","Phase 5 - Topic Update","5 in-scope topics rotando para PM0_PA_Card_*; reverify T+5min e T+1h PASS","Owner","CODEX-PA","DONE","P1","M2-P4","2-4h","2026-05-22 08:00","2026-05-22 12:23","-","drift_monitoring_20260522_0816/","Concluido"
"DONE - M2 Phases","M2-P6","Phase 6 - Schema Cleanup","Logical delete fields aplicados; cleanup log capturado","Codex 5.5","Owner","DONE","P1","NONE","2-4h","2026-05-10","2026-05-10","-",".planning/cleanup/","Concluido"
"M2 Phase 7 (NEXT)","M2-P7","Phase 7 - Smoke E2E","AQ-09 retest and XPIA only after PM0 containment/remediation","Owner","Codex 5.5 + Opus 4.7","BLOCKED_PM0","P1","PM0-CONTAINMENT","2-3h","2026-05-22 13:30","","A1 failed","aq09_smoke_runbook_20260520/","Review mitigation plan"
"M2 Phase 8","M2-P8","Phase 8 - Documentation","Manual Operacional v1.0 PT-BR + Release Notes 3.16","Gemini Lead","sub-1 + sub-2","DRAFT_COMPLETE","P0-CRITICAL","NONE","4-6h","2026-05-22 20:05","2026-05-22 20:45","Waiting for Codex #2 live smoke to trigger backfills",".planning/comms/codex_pm0_remediation_20260522/GEMINI/","Trigger backfill when [CODEX2 SMOKE COMPLETE] appears in log"
"M2 Phase 9","M2-P9","Phase 9 - Cutover","Production publish + 24h monitoring sentinel + legacy deactivate","Owner","Opus 4.7 + Codex 5.5","WAITING","P0","M2-P8","2-4h","2026-05-23 22:30","2026-05-24 02:30","Aguarda P8","M2/phases/09_cutover/","-"
"M2 Phase 10","M2-P10","Phase 10 - Decommission","Delete 12 PMO_PA_* legacy after T+30 stability","Owner","Codex 5.5","SCHEDULED","P3","M2-P9","1-2h","2026-06-22","2026-06-22","T+30 days","M2/phases/10_decommission/","-"
"Adaptive Cards Pending","CARD-01","Phase 7 (M2) - Card Tests","Validar PMO_PA_RegistrarDecisaoBoard approve/reject/defer","Owner","Codex 5.5","PENDING","P2","UNBLK-08","30min","Apos UNBLK-08","Apos UNBLK-08","Aguarda smoke","CARD-01 evidence","-"
"Adaptive Cards Pending","CARD-02","Phase 7 (M2) - Card Tests","Validar PMO_PA_CheckInOnDemand submit path","Owner","Codex 5.5","PENDING","P2","UNBLK-08","25min","Apos UNBLK-08","Apos UNBLK-08","-","CARD-02 evidence","-"
"Adaptive Cards Pending","CARD-03","Phase 6 (M2) - Decisao","Decidir canonical check-in flow","Owner","Opus 4.7","PENDING","P2","NONE","30min","2026-05-22","2026-05-22","Decisao owner","CARD-03 evidence","-"
"Adaptive Cards Pending","CARD-04","Phase 7 (M2) - Card Tests","Validar scheduled PMO_PA_EnviarCheckInDiario send and submit","Owner","Codex 5.5","PENDING","P2","CARD-03","35min","Apos CARD-03","Apos CARD-03","-","CARD-04 evidence","-"
"Adaptive Cards Pending","CARD-05","Phase 7 (M2) - Card Tests","Validar PMO_PA_AlertaProjetoVermelho E2E","Owner","Codex 5.5","PENDING","P2","UNBLK-08","30min","Apos UNBLK-08","Apos UNBLK-08","-","CARD-05 evidence","-"
"Adaptive Cards Pending","CARD-06","Phase 7 (M2) - Card Tests","Validar PMO_PA_EscalarRiscoCritico E2E","Owner","Codex 5.5","PENDING","P2","UNBLK-08","25min","Apos UNBLK-08","Apos UNBLK-08","-","CARD-06 evidence","-"
"Adaptive Cards Pending","CARD-07","Phase 7 (M2) - Card Tests","Capturar PMO_PA_ResumoDiarioBoard run evidence","Owner","Codex 5.5","PENDING","P2","UNBLK-08","20min","Apos UNBLK-08","Apos UNBLK-08","-","CARD-07 evidence","-"
"Adaptive Cards Pending","CARD-08","Phase 7 (M2) - Card Tests","Capturar PMO_PA_ResumoSemanal run evidence","Owner","Codex 5.5","PENDING","P2","UNBLK-08","20min","Apos UNBLK-08","Apos UNBLK-08","-","CARD-08 evidence","-"
"Planner Sync","PLN-01","Phase 7 (M2) - Planner","Validar PMO_PA_SyncPlannerStats_Standard com pilot Planner","Owner","Codex 5.5","PENDING","P2","UNBLK-08","45min","Apos UNBLK-08","Apos UNBLK-08","Precisa PlannerGroupId","PLN-01 evidence","-"
"Cleanup Admin","GAP-C1","Phase 6 (M2)","Resolver ghost Copilot components (cleanup ou risk acceptance)","Admin","Codex 5.5","PENDING","P2","NONE","30min","2026-05-22","2026-05-22","Decisao admin","Discovery report","-"
"Backlog Legacy Migration","BACKLOG-WAVE2","Pos-M2 (Wave 2)","Migrar 7 legacy topics para PM0_PA_Card_*","Owner","Codex 5.5","BACKLOG","P3","M2-P9","3-5d build + 1d publish","2026-06-15","2026-06-22","Triggers reopen XPIA","BACKLOG-PM0-LEGACY-MIGRATION-WAVE2","Replan futuro"
"Cockpit Web","COCKPIT-01","Pos-M2","Web_MD_Viewer cockpit melhorias","Owner","Gemini Flash","IN_PROGRESS","P3","NONE","Continuo","2026-05-22","2026-06-15","-","Web_MD_Viewer/cockpit-server.js","-"
